relation,a,b,c,d
4_pa.pa,Sliz,Slizyatam,pluz,pluzyatam
4_pa.pa,pluz,pluzyeTAm,snih,snihyeTAm
5_A.pa,kf,kriyevahi,ci,cIyevahi
3_A.pa,mA,mame,hA,jahe
7_A.pa,vic,aviYcma,tfd,atfndma
3_A.pa,mA,mimATe,nij,nenijATe
8_pa.pa,san,sanizyete,kzan,kzanizyete
1_A.pa,ven,venyatAm,BrAj,BrAjyatAm
4_pa.pa,snih,snihyetAm,Sliz,SlizyetAm
10_A.pa,kuts,akutsayeTAm,spaS,aspASayeTAm
8_pa.pa,kzan,kzanizye,san,sanizye
5_pa.pa,spf,spfRuyAta,Sak,SaknuyAta
1_A.pa,DAv,DAvet,ven,venet
10_pa.pa,spfh,spfhayitAsi,guRq,guRqayitAsi
8_pa.pa,san,sanuyAt,kf,kuryAt
6_pa.pa,fz,fzata,il,ilata
5_pa.pa,daG,deGuH,spf,pasparuH
6_pa.pa,kuw,kowizyaTaH,fz,arzizyaTaH
5_A.pa,ci,acinot,kf,akfRot
9_pa.pa,dF,adIrye,aS,ASye
7_A.pa,vic,viYcmahe,kzud,kzundmahe
4_A.pa,mfz,marzizyaDve,ri,rezyaDve
10_pa.pa,spfh,sparhyete,kaRq,kaRqyete
4_pa.pa,snih,snihyata,Sliz,Slizyata
5_A.pa,kf,akriyetAm,ci,acIyetAm
2_pa.pa,prA,aprAm,kzRu,akzRavam
5_A.pa,kf,kartAsTa,ci,cetAsTa
1_pa.pa,vah,uhyAsma,svan,svanyAsma
3_A.pa,hA,hAsyete,nij,nekzyete
6_pa.pa,kuw,kowitAsi,il,elitAsi
4_A.pa,ri,rIyAstam,mfz,mfzyAstam
8_pa.pa,kzan,kzaRutaH,san,sanutaH
4_A.pa,ri,rezyase,yuj,yokzyase
9_pa.pa,aS,ASyanta,grah,agfhyanta
9_A.pa,prI,prIRATAm,lU,lunATAm
4_pa.pa,pluz,apluzyAva,snih,asnihyAva
5_A.pa,kf,kfRvIDvam,aS,aSnuvIDvam
5_pa.pa,spf,asparyanta,daG,adaGyanta
6_pa.pa,kuw,kuwyeyAtAm,fz,fzyeyAtAm
2_pa.pa,lA,alAH,kzRu,akzROH
2_pa.pa,kzRu,kzRavAva,lA,lAva
9_pa.pa,grah,gfhyAt,aS,aSyAt
8_pa.pa,kzan,kzaRvIyAtAm,kf,kurvIyAtAm
4_A.pa,ri,retum,mfz,marzitum
8_pa.pa,san,sanizyAmahe,kf,karizyAmahe
7_A.pa,kzud,kzotsyante,vic,vekzyante
2_pa.pa,kzRu,akzROt,lA,alAt
8_pa.pa,kf,kuryAtAm,san,sanuyAtAm
8_A.pa,man,manyAmahe,van,vanyAmahe
1_pa.pa,svan,svanasi,raYj,rajasi
7_pa.pa,und,udyAvahe,vfj,vfjyAvahe
2_A.pa,duh,DokzyeTe,hnu,hnozyeTe
7_A.pa,tfd,tfndvahe,kzud,kzundvahe
1_A.pa,BrAj,BrAjyaDve,DAv,DAvyaDve
6_A.pa,kfz,kfzyemahi,gur,guryemahi
8_pa.pa,san,sanyevahi,kf,kriyevahi
1_pa.pa,svan,svanyAsva,vah,uhyAsva
7_pa.pa,Siz,Sizye,und,udye
8_pa.pa,kf,kriyaDvam,kzan,kzanyaDvam
4_pa.pa,Sliz,Slizyeta,snih,snihyeta
2_A.pa,duh,duduhATe,hnu,juhnuvATe
3_pa.pa,BI,BIyAsam,viz,vizyAsam
6_A.pa,lip,alipye,gur,agurye
4_pa.pa,Sliz,aSlizyaTAH,snih,asnihyaTAH
6_pa.pa,kuw,kuwyAmahE,fz,fzyAmahE
2_pa.pa,prA,prAhi,lA,lAhi
1_A.pa,DAv,DAvitAraH,ven,venitAraH
5_A.pa,kf,kfRoti,ci,cinoti
7_A.pa,vic,viYcITAH,kzud,kzundITAH
8_pa.pa,san,sanavAmahE,kf,karavAmahE
9_A.pa,prI,aprIRan,lU,alunan
5_pa.pa,spf,spfRavAma,Sak,SaknavAma
3_pa.pa,BI,BIyeTAH,viz,vizyeTAH
3_A.pa,nij,niniYja,mA,mama
6_A.pa,gur,aguryata,kfz,akfzyata
1_pa.pa,vah,avaham,svan,asvanam
3_A.pa,nij,nijyeya,mA,mIyeya
1_pa.pa,svan,svanyeTAH,vah,uhyeTAH
4_pa.pa,Sliz,SlekzyAmi,snih,snehizyAmi
10_A.pa,spaS,spaSayeya,Barts,Bartsayeya
6_pa.pa,il,Elatam,fz,Arzatam
9_pa.pa,dF,dIryate,grah,gfhyate
4_A.pa,mfz,mfzyAstam,ri,rIyAstam
8_pa.pa,san,sanyAstam,kzan,kzaRyAstam
2_A.pa,hnu,ahnUyaDvam,duh,aduhyaDvam
3_A.pa,hA,ahAye,mA,amIye
7_A.pa,kzud,kzundDi,tfd,tfndDi
ajanta_ekaranta_masc,giri,girIn,aYjali,aYjalIn
ajanta_ekaranta_masc,fzi,fziByaH,rASi,rASiByaH
ajanta_ukaranta_masc,kfpAlu,kfpAlo,bindu,bindo
ajantra_Rukaranta_masc,aBiyantf,aBiyantAraH,BrAtf,BrAtaraH
ajanta_ekaranta_fem,kuwi,kuwim,varti,vartim
halanta_nakaranta_masc_1,Danin,DaninoH,hastin,hastinoH
ajanta_ukaranta_fem,hanu,hanvoH,veRu,veRvoH
ajanta_ekaranta_fem,varti,vartiByaH,stuti,stutiByaH
ajanta_ukaranta_masc,ripu,ripuByaH,paNgu,paNguByaH
ajanta_ekaranta_fem,mati,matim,mUrti,mUrtim
ajanta_ekaranta_fem,mUrti,mUrtiByaH,varti,vartiByaH
ajantra_Rukaranta_masc,niyantf,niyantrA,dAtf,dAtrA
ajanta_ukaranta_masc,paNgu,paNgum,bindu,bindum
halanta_nakaranta_masc_1,Danin,DanI,vidyArTin,vidyArTI
ajanta_ukaranta_masc,BIru,BIrum,sADu,sADum
ajanta_ukaranta_masc,guru,guruzu,BIru,BIruzu
halanta_takaranta_neu,bfhat,bfhanti,Bavizyat,Bavizyanti
ajanta_ukaranta_masc,hanu,hanuByAm,jantu,jantuByAm
ajanta_ekaranta_masc,pratiniDi,pratiniDiByaH,alI,alIByaH
ajanta_ekaranta_masc,atiTi,atiTiByaH,pati,patiByaH
ajanta_ekaranta_masc,giri,girim,brahmarzi,brahmarzim
halanta_sakaranta_neu,saras,sarase,cetas,cetase
halanta_nakaranta_masc_1,tejasvin,tejasvine,premin,premiRe
ajanta_ekaranta_fem,kuwi,kuwiByAm,varti,vartiByAm
halanta_sakaranta_neu,tapas,tapasoH,saras,sarasoH
ajanta_ukaranta_masc,taru,taruzu,viDu,viDuzu
ajanta_ukaranta_masc,vawu,vawuBiH,bAhu,bAhuBiH
ajanta_ukaranta_masc,viDu,viDuByAm,jagadguru,jagadguruByAm
ajanta_ekaranta_fem,rAtri,rAtryoH,kuwi,kuwyoH
ajantra_Rukaranta_masc,BrAtf,BrAtaraH,viDAtf,viDAtAraH
ajantra_Rukaranta_masc,aBiyantf,aBiyantArO,hantf,hantArO
halanta_nakaranta_masc,rAjan,rAjYoH,yuvan,yUnoH
ajanta_ekaranta_fem,smfti,smfte,mUrti,mUrte
ajanta_ukaranta_masc,hindu,hindU,jagadguru,jagadgurU
ajanta_ukaranta_masc,SiSu,SiSO,BAnu,BAnO
ajanta_ukaranta_masc,hanu,hanave,pawu,pawave
halanta_takaranta_neu,dIvyat,dIvyataH,Sakft,SakftaH
halanta_sakaranta_neu,manas,manase,tapas,tapase
ajantra_Rukaranta_masc,jetf,jetfByAm,Srotf,SrotfByAm
ajanta_ukaranta_masc,bindu,bindO,praBu,praBO
ajantra_Rukaranta_masc,viDAtf,viDAtA,pitf,pitA
ajanta_ekaranta_fem,nABi,nABe,kuwi,kuwe
ajanta_ukaranta_masc,izu,izU,kfpAlu,kfpAlU
halanta_nakaranta_masc_1,vidyArTin,vidyArTinA,Danin,DaninA
ajanta_ekaranta_fem,nABi,nABInAm,truwi,truwInAm
ajantra_Rukaranta_masc,jAmAtf,jAmAtfByaH,BrAtf,BrAtfByaH
ajanta_ukaranta_masc,jagadguru,jagadguro,vizRu,vizRo
ajanta_ekaranta_masc,kavi,kavyoH,vanaspati,vanaspatyoH
ajanta_ekaranta_masc,fzi,fzyoH,agni,agnyoH
ajanta_ukaranta_masc,hindu,hindunA,krIqApawu,krIqApawunA
ajantra_Rukaranta_masc,niyantf,niyantAram,netf,netAram
ajanta_ekaranta_fem,kIrti,kIrte,truwi,truwe
halanta_nakaranta_masc_1,loBin,loBiByaH,balin,baliByaH
ajanta_ekaranta_masc,atiTi,atiTiByaH,ravi,raviByaH
ajanta_ekaranta_fem,smfti,smftiByAm,prakfti,prakftiByAm
halanta_dakaranta_fem,sampad,sampadBiH,vipad,vipadBiH
ajanta_ukaranta_masc,Bikzu,Bikzo,sADu,sADo
ajanta_ukaranta_masc,praBu,praBum,sADu,sADum
halanta_sakaranta_neu,yaSas,yaSasoH,cetas,cetasoH
ajanta_ekaranta_masc,vanaspati,vanaspatI,brahmarzi,brahmarzI
ajanta_ekaranta_fem,kIrti,kIrtiH,prakfti,prakftiH
ajanta_ukaranta_masc,bindu,bindum,sADu,sADum
ajanta_ekaranta_masc,atiTi,atiTeH,brahmarzi,brahmarzeH
ajanta_ekaranta_masc,asi,asInAm,upADi,upADInAm
ajanta_ukaranta_masc,hanu,hanO,krIqApawu,krIqApawO
ajanta_ekaranta_masc,nfpati,nfpatyoH,pratiniDi,pratiniDyoH
ajanta_ekaranta_masc,asi,asI,agni,agnI
ajanta_ekaranta_fem,Bakti,BaktiByAm,Bfkuwi,BfkuwiByAm
halanta_takaranta_neu,Sakft,Sakfti,dIvyat,dIvyati
ajanta_ukaranta_fem,karu,karuBiH,tanu,tanuBiH
halanta_takaranta_neu,dIvyat,dIvyatsu,mahat,mahatsu
ajanta_ekaranta_masc,kapi,kapeH,fzi,fzeH
ajantra_Rukaranta_masc,vaktf,vaktfBiH,jetf,jetfBiH
ajanta_ekaranta_masc,rASi,rASaye,giri,giraye
ajanta_ukaranta_masc,sADu,sADU,Bikzu,BikzU
ajanta_ukaranta_fem,tanu,tanuByAm,Denu,DenuByAm
ajanta_ukaranta_fem,tanu,tanuH,karu,karuH
ajanta_ekaranta_masc,niDi,niDiByaH,alI,alIByaH
ajanta_ukaranta_masc,bAhu,bAhUnAm,SiSu,SiSUnAm
ajanta_ekaranta_fem,veRi,veRIH,Akfti,AkftIH
ajanta_ukaranta_masc,paNgu,paNgum,SiSu,SiSum
ajanta_ekaranta_fem,prakfti,prakftI,Cadi,CadI
ajanta_ekaranta_fem,prakfti,prakftayaH,Cadi,CadayaH
ajanta_ekaranta_masc,ari,arim,alI,alyam
ajanta_ekaranta_fem,kfti,kftim,truwi,truwim
ajanta_ekaranta_fem,yuvati,yuvatayaH,mati,matayaH
ajanta_ekaranta_masc,aYjali,aYjalIn,kavi,kavIn
ajanta_ekaranta_fem,truwi,truwiByAm,Bakti,BaktiByAm
ajanta_ekaranta_fem,Akfti,AkftyA,varti,vartyA
ajanta_ukaranta_fem,hanu,hano,veRu,veRo
ajantra_Rukaranta_masc,vikretf,vikretArO,aBiyantf,aBiyantArO
halanta_nakaranta_masc,rAjan,rAjaBiH,sudAman,sudAmaBiH
ajanta_ukaranta_masc,hindu,hindU,bAhu,bAhU
ajanta_ekaranta_masc,jalaDi,jalaDinA,kapi,kapinA
ajanta_ekaranta_masc,nfpati,nfpatyoH,upADi,upADyoH
ajantra_Rukaranta_masc,dAtf,dAtAram,drazwf,drazwAram
ajanta_ekaranta_fem,truwi,truwiBiH,BUmi,BUmiBiH
ajanta_ekaranta_masc,asi,asayaH,ravi,ravayaH
ajanta_ukaranta_masc,hanu,hanuH,Bikzu,BikzuH
ajanta_ukaranta_masc,manu,manum,kfpAlu,kfpAlum
ajanta_ekaranta_masc,vanaspati,vanaspatiByAm,pratiniDi,pratiniDiByAm
ajanta_ukaranta_masc,vawu,vawvoH,taru,tarvoH
halanta_sakaranta_neu,vacas,vacase,cetas,cetase
ajanta_ekaranta_masc,nfpati,nfpatInAm,ari,arIRAm
ajanta_ukaranta_masc,Bikzu,BikzuByaH,praBu,praBuByaH
ajanta_ukaranta_masc,SiSu,SiSunA,taru,taruRA
halanta_nakaranta_neu,vyoman,vyomnaH,karman,karmaRaH
ajanta_ukaranta_masc,BIru,BIravaH,vawu,vawavaH
ajantra_Rukaranta_masc,Batf,BatFRAm,drazwf,drazwFRAm
ajanta_ekaranta_fem,prIti,prItIH,veRi,veRIH
ajantra_Rukaranta_masc,smartf,smartaH,jAmAtf,jAmAtaH
ajanta_ekaranta_fem,Akfti,AkftInAm,yuvati,yuvatInAm
ajanta_ukaranta_fem,vIraprasu,vIraprasuByaH,rajju,rajjuByaH
ajanta_ekaranta_fem,kfti,kftayaH,smfti,smftayaH
ajanta_ekaranta_fem,smfti,smftiByaH,rAtri,rAtriByaH
ajanta_ekaranta_masc,atiTi,atiTiByAm,kapi,kapiByAm
halanta_nakaranta_masc_1,vidyArTin,vidyArTizu,guRin,guRizu
ajanta_ekaranta_masc,niDi,niDinA,vyADi,vyADinA
ajanta_ekaranta_masc,sAraTi,sAraTeH,ari,areH
ajanta_ukaranta_masc,jagadguru,jagadguro,bAhu,bAho
ajanta_ekaranta_masc,ari,arIn,ravi,ravIn
ajanta_ekaranta_fem,saMskfti,saMskftyA,mUrti,mUrtyA
ajanta_ekaranta_fem,aNguli,aNgulI,budDi,budDI
ajanta_ukaranta_masc,vizRu,vizRU,bindu,bindU
ajanta_ekaranta_masc,nfpati,nfpataye,yati,yataye
ajanta_ekaranta_fem,Cadi,CadayaH,nIti,nItayaH
ajanta_ekaranta_masc,pratiniDi,pratiniDeH,fzi,fzeH
ajanta_ukaranta_masc,manu,manunA,vizRu,vizRunA
halanta_nakaranta_neu,DAman,DAmAni,Sarman,SarmARi
ajanta_ekaranta_masc,pati,patIn,vanaspati,vanaspatIn
ajantra_Rukaranta_masc,pitf,pitfByaH,netf,netfByaH
ajanta_ukaranta_masc,paNgu,paNgoH,SiSu,SiSoH
ajantra_Rukaranta_masc,dAtf,dAtfByAm,pitf,pitfByAm
halanta_nakaranta_masc_1,vivekin,vivekini,tejasvin,tejasvini
ajantra_Rukaranta_masc,smartf,smartFRAm,kartf,kartFRAm
ajanta_ukaranta_masc,kfpAlu,kfpAluzu,guru,guruzu
halanta_nakaranta_neu,nAman,nAmnaH,DAman,DAmnaH
ajanta_ukaranta_masc,BIru,BIrvoH,izu,izvoH
ajantra_Rukaranta_masc,vetf,vetArO,Batf,BatArO
ajanta_ekaranta_masc,jalaDi,jalaDO,vyADi,vyADO
ajanta_ekaranta_masc,brahmarzi,brahmarzeH,yati,yateH
halanta_nakaranta_neu,varman,varmaRoH,nAman,nAmnoH
ajanta_ukaranta_masc,BAnu,BAnUn,SiSu,SiSUn
ajantra_Rukaranta_masc,kartf,kartfByAm,BrAtf,BrAtfByAm
ajanta_ekaranta_masc,narapati,narapatiByaH,sAraTi,sAraTiByaH
ajantra_Rukaranta_masc,drazwf,drazwfBiH,dAtf,dAtfBiH
ajanta_ekaranta_masc,rASi,rASiByAm,ravi,raviByAm
halanta_nakaranta_masc,yuvan,yuvaByaH,sudAman,sudAmaByaH
ajanta_ekaranta_fem,rAtri,rAtrayaH,BUmi,BUmayaH
ajanta_ukaranta_fem,vIraprasu,vIraprasum,rajju,rajjum
halanta_nakaranta_neu,preman,premRoH,varman,varmaRoH
ajantra_Rukaranta_masc,pitf,pitrA,trAtf,trAtrA
ajantra_Rukaranta_masc,vikretf,vikretfzu,viDAtf,viDAtfzu
ajanta_ekaranta_fem,kfti,kftIH,veRi,veRIH
ajanta_ekaranta_fem,Cadi,CadiByAm,BUmi,BUmiByAm
ajanta_ekaranta_masc,rASi,rASIn,upADi,upADIn
ajanta_ekaranta_masc,niDi,niDizu,vanaspati,vanaspatizu
ajantra_Rukaranta_masc,hantf,hantFRAm,vetf,vetFRAm
ajanta_ukaranta_masc,manu,manuByAm,taru,taruByAm
ajanta_ekaranta_masc,BUpati,BUpatiH,vyADi,vyADiH
ajanta_ekaranta_masc,pratiniDi,pratiniDI,giri,girI
ajanta_ukaranta_masc,bAhu,bAhU,sADu,sADU
ajanta_ekaranta_masc,ravi,ravizu,BUpati,BUpatizu
ajanta_ekaranta_masc,agni,agninA,atiTi,atiTinA
ajantra_Rukaranta_masc,BrAtf,BrAtfBiH,hantf,hantfBiH
ajanta_ekaranta_masc,giri,girizu,upADi,upADizu
ajantra_Rukaranta_masc,kartf,kartArO,Batf,BatArO
ajanta_ekaranta_masc,giri,gire,BUpati,BUpate
halanta_chakaranta_fem,vAc,vAce,tvac,tvace
ajanta_ekaranta_fem,mUrti,mUrtInAm,mati,matInAm
ajanta_ekaranta_masc,nfpati,nfpateH,ari,areH
ajanta_ekaranta_fem,Bakti,BaktInAm,prIti,prItInAm
ajanta_ekaranta_masc,asi,ase,nfpati,nfpate
ajanta_ekaranta_fem,varti,vartim,aNguli,aNgulim
ajanta_ukaranta_masc,jagadguru,jagadguruByAm,BAnu,BAnuByAm
ajantra_Rukaranta_masc,vaktf,vaktFRAm,kartf,kartFRAm
ajantra_Rukaranta_masc,hantf,hantA,vikretf,vikretA
ajantra_Rukaranta_masc,jAmAtf,jAmAtfByaH,netf,netfByaH
ajanta_ekaranta_masc,giri,giriByaH,alI,alIByaH
ajanta_ekaranta_masc,vanaspati,vanaspatO,yati,yatO
ajanta_ekaranta_fem,budDi,budDyoH,Cadi,CadyoH
ajanta_ukaranta_masc,ripu,ripuByAm,praBu,praBuByAm
ajanta_ukaranta_fem,karu,karuH,rajju,rajjuH
ajanta_ekaranta_masc,jalaDi,jalaDO,nfpati,nfpatO
halanta_nakaranta_masc_1,vAdin,vAdizu,premin,premizu
ajanta_ekaranta_fem,varti,vartyoH,Bakti,BaktyoH
ajanta_ukaranta_fem,karu,karU,vIraprasu,vIraprasU
ajanta_ekaranta_fem,kuwi,kuwyA,kfti,kftyA
ajanta_ekaranta_masc,agni,agnI,kapi,kapI
ajanta_ekaranta_masc,sAraTi,sAraTinA,vyADi,vyADinA
ajanta_ekaranta_neu,vAri,vAriByaH,sakTi,sakTiByaH
ajantra_Rukaranta_fem,duhitf,duhitarO,yAtf,yAtArO
ajantra_Rukaranta_masc,BrAtf,BrAtFRAm,dAtf,dAtFRAm
ajantra_Rukaranta_masc,Batf,BataH,hantf,hantaH
ajanta_ekaranta_fem,mati,matyA,mandmati,mandmatyA
ajantra_Rukaranta_masc,Batf,BatrA,vetf,vetrA
halanta_takaranta_fem,taqit,taqidByAm,sarit,saridByAm
ajanta_ekaranta_fem,Bakti,BaktyoH,mandmati,mandmatyoH
halanta_takaranta_neu,bfhat,bfhatA,jagat,jagatA
halanta_nakaranta_neu,DAman,DAmAni,vyoman,vyomAni
ajanta_ekaranta_fem,budDi,budDiByAm,kfti,kftiByAm
ajanta_ekaranta_fem,paNkti,paNktizu,Akfti,Akftizu
halanta_nakaranta_masc_1,mantrin,mantriByAm,Danin,DaniByAm
ajanta_ekaranta_fem,Cadi,CadiByaH,Akfti,AkftiByaH
ajantra_Rukaranta_masc,vaktf,vaktAraH,Batf,BatAraH
ajanta_ukaranta_masc,krIqApawu,krIqApawvoH,BIru,BIrvoH
ajantra_Rukaranta_masc,Srotf,SrotArO,Batf,BatArO
ajanta_ekaranta_masc,BUpati,BUpatizu,pratiniDi,pratiniDizu
halanta_nakaranta_neu,nAman,nAmnA,veSman,veSmanA
ajanta_ukaranta_masc,krIqApawu,krIqApawO,vizRu,vizRO
ajanta_ekaranta_masc,giri,giraye,sAraTi,sAraTaye
ajanta_ekaranta_fem,budDi,budDizu,kIrti,kIrtizu
ajanta_ekaranta_fem,saMskfti,saMskftim,kuwi,kuwim
ajanta_ukaranta_masc,viDu,viDuH,izu,izuH
ajanta_ukaranta_masc,BAnu,BAnuBiH,kfpAlu,kfpAluBiH
ajanta_ekaranta_fem,saMskfti,saMskftyA,rAtri,rAtryA
ajanta_ekaranta_neu,asTi,asTIni,daDi,daDIni
ajanta_ekaranta_masc,fzi,fziBiH,atiTi,atiTiBiH
ajantra_Rukaranta_masc,Batf,BatFn,smartf,smartFn
ajanta_ekaranta_masc,fzi,fzizu,pati,patizu
ajanta_ekaranta_masc,BUpati,BUpatizu,narapati,narapatizu
ajanta_ekaranta_fem,smfti,smftim,mati,matim
ajantra_Rukaranta_masc,hantf,hantuH,pitf,pituH
ajanta_ukaranta_fem,tanu,tanuzu,vIraprasu,vIraprasuzu
halanta_nakaranta_neu,DAman,DAmAni,veSman,veSmAni
ajanta_ukaranta_masc,bAhu,bAhum,ripu,ripum
ajanta_ekaranta_fem,BUmi,BUmim,Bakti,Baktim
ajanta_ekaranta_fem,BUmi,BUmizu,prakfti,prakftizu
halanta_nakaranta_neu,janman,janmanAm,sAman,sAmnAm
ajantra_Rukaranta_masc,jAmAtf,jAmAtfBiH,viDAtf,viDAtfBiH
ajanta_ukaranta_masc,vawu,vawavaH,hindu,hindavaH
halanta_nakaranta_masc,sudAman,sudAmne,rAjan,rAjYe
halanta_nakaranta_neu,sAman,sAma,nAman,nAma
ajanta_ekaranta_fem,mati,matizu,kIrti,kIrtizu
ajanta_ukaranta_masc,guru,guruzu,praBu,praBuzu
ajanta_ekaranta_fem,kfti,kftiByAm,budDi,budDiByAm
halanta_nakaranta_neu,karman,karmaRe,janman,janmane
halanta_sakaranta_neu,tapas,tapAMsi,vacas,vacAMsi
ajanta_ekaranta_masc,alI,alyaH,narapati,narapateH
halanta_nakaranta_masc_1,mantrin,mantriRam,loBin,loBinam
ajanta_ekaranta_masc,aYjali,aYjalizu,vyADi,vyADizu
halanta_nakaranta_masc_1,yogin,yogin,balin,balin
ajanta_ekaranta_fem,varti,vartayaH,yuvati,yuvatayaH
ajanta_ukaranta_masc,praBu,praBuBiH,bAhu,bAhuBiH
ajanta_ekaranta_fem,yuvati,yuvatiBiH,stuti,stutiBiH
ajanta_ukaranta_fem,karu,karvA,veRu,veRvA
ajanta_ukaranta_neu,maDu,maDunoH,dAru,dAruRoH
halanta_takaranta_neu,bfhat,bfhatoH,mahat,mahatoH
ajanta_ekaranta_fem,ASakti,ASaktyoH,kfti,kftyoH
ajanta_ekaranta_masc,rASi,rASaye,nfpati,nfpataye
ajantra_Rukaranta_masc,netf,netArO,dAtf,dAtArO
halanta_nakaranta_masc_1,Danin,DanI,guRin,guRI
ajanta_ekaranta_masc,yati,yatIn,agni,agnIn
halanta_sakaranta_neu,vacas,vacaHsu,cetas,cetaHsu
ajanta_Ukaranta_fem,putravaDU,putravaDvAm,yavAgU,yavAgvAm
ajanta_ekaranta_masc,atiTi,atiTiH,ravi,raviH
ajanta_ukaranta_masc,paNgu,paNgo,vawu,vawo
ajanta_ukaranta_masc,BAnu,BAnavaH,bAhu,bAhavaH
ajanta_ekaranta_fem,prIti,prItizu,stuti,stutizu
halanta_nakaranta_neu,nAman,nAmne,vyoman,vyomne
ajantra_Rukaranta_masc,jetf,jetfByaH,vetf,vetfByaH
ajanta_ukaranta_masc,SiSu,SiSoH,BIru,BIroH
ajanta_ekaranta_fem,smfti,smftiByaH,paNkti,paNktiByaH
ajanta_ekaranta_fem,prIti,prItiBiH,budDi,budDiBiH
halanta_shakaranta_neu,haviz,havizI,Ayuz,AyuzI
ajanta_ekaranta_masc,vanaspati,vanaspatim,narapati,narapatim
halanta_chakaranta_fem,tvac,tvagBiH,vAc,vAgBiH
ajanta_ekaranta_fem,nIti,nItiByAm,kIrti,kIrtiByAm
halanta_takaranta_neu,bfhat,bfhadByaH,dIvyat,dIvyadByaH
ajanta_ekaranta_masc,kapi,kapeH,vyADi,vyADeH
ajantra_Rukaranta_masc,pitf,pitfByaH,trAtf,trAtfByaH
halanta_nakaranta_masc_1,yogin,yogiBiH,vAdin,vAdiBiH
ajanta_ukaranta_masc,viDu,viDoH,jagadguru,jagadguroH
halanta_dakaranta_fem,Sarad,SaradByAm,vipad,vipadByAm
ajanta_ukaranta_masc,krIqApawu,krIqApawUn,kfpAlu,kfpAlUn
ajanta_ekaranta_fem,stuti,stutiBiH,varti,vartiBiH
ajanta_ukaranta_masc,guru,gurUn,bindu,bindUn
ajanta_ekaranta_neu,vAri,vArIRAm,sakTi,sakTInAm
ajanta_ekaranta_fem,rAtri,rAtrIRAm,yuvati,yuvatInAm
halanta_nakaranta_masc_1,premin,premiRaH,hastin,hastinaH
ajanta_ukaranta_fem,reRu,reRvA,veRu,veRvA
ajantra_Rukaranta_masc,netf,netfzu,vaktf,vaktfzu
ajantra_Rukaranta_masc,Srotf,SrotrA,smartf,smartrA
ajanta_ukaranta_masc,ripu,ripuRA,Bikzu,BikzuRA
ajantra_Rukaranta_masc,dAtf,dAtfByaH,aBiyantf,aBiyantfByaH
ajanta_ekaranta_fem,ASakti,ASakte,kfti,kfte
ajanta_ekaranta_fem,BUmi,BUmim,smfti,smftim
halanta_nakaranta_neu,sAman,sAma,janman,janma
ajanta_ekaranta_fem,mUrti,mUrtim,nABi,nABim
ajantra_Rukaranta_masc,aBiyantf,aBiyantroH,netf,netroH
ajanta_ekaranta_fem,prIti,prItim,paNkti,paNktim
halanta_nakaranta_masc_1,vAdin,vAdinA,hastin,hastinA
halanta_shakaranta_neu,Danuz,DanuzAm,Ayuz,AyuzAm
ajanta_ukaranta_masc,pawu,pawO,hindu,hindO
ajanta_ukaranta_masc,guru,guruRA,krIqApawu,krIqApawunA
ajantra_Rukaranta_masc,aBiyantf,aBiyantuH,Batf,BatuH
halanta_nakaranta_neu,varman,varmARi,DAman,DAmAni
ajanta_ukaranta_masc,ripu,ripavaH,BAnu,BAnavaH
ajanta_ekaranta_fem,kfti,kftiByaH,mati,matiByaH
ajanta_ekaranta_masc,kavi,kaviByaH,aYjali,aYjaliByaH
ajanta_ukaranta_masc,taru,taroH,manu,manoH
ajantra_Rukaranta_masc,viDAtf,viDAtfByaH,dAtf,dAtfByaH
ajanta_ekaranta_fem,Bakti,BaktI,prIti,prItI
ajanta_ekaranta_fem,kIrti,kIrtizu,smfti,smftizu
ajantra_Rukaranta_masc,jetf,jetaH,vikretf,vikretaH
ajantra_Rukaranta_masc,jetf,jetfBiH,hantf,hantfBiH
ajanta_ekaranta_masc,agni,agneH,brahmarzi,brahmarzeH
ajanta_ekaranta_fem,prakfti,prakftyoH,veRi,veRyoH
ajanta_ekaranta_masc,agni,agneH,alI,alyaH
halanta_nakaranta_neu,vyoman,vyomasu,karman,karmasu
ajantra_Rukaranta_masc,netf,netroH,aBiyantf,aBiyantroH
ajanta_ekaranta_fem,budDi,budDiByAm,mUrti,mUrtiByAm
ajantra_Rukaranta_masc,jetf,jetAraH,kartf,kartAraH
ajanta_ekaranta_masc,upADi,upADaye,nfpati,nfpataye
ajanta_ukaranta_masc,praBu,praBoH,BAnu,BAnoH
halanta_sakaranta_neu,tapas,tapaHsu,vayas,vayaHsu
ajanta_ekaranta_fem,Akfti,AkftiBiH,nIti,nItiBiH
ajantra_Rukaranta_masc,drazwf,drazwre,pitf,pitre
ajanta_ekaranta_masc,sAraTi,sAraTinA,asi,asinA
ajanta_ekaranta_masc,giri,girO,nfpati,nfpatO
halanta_takaranta_neu,jagat,jagataH,Bavizyat,BavizyataH
halanta_jakaranta_masc,samrAj,samrAjaH,vanij,vanijaH
ajanta_ukaranta_masc,SiSu,SiSoH,bindu,bindoH
ajanta_ukaranta_masc,paNgu,paNgUn,SiSu,SiSUn
ajanta_ukaranta_masc,BAnu,BAnave,BIru,BIrave
halanta_sakaranta_neu,yaSas,yaSaHsu,cetas,cetaHsu
ajanta_ekaranta_masc,upADi,upADiH,nfpati,nfpatiH
ajanta_ekaranta_masc,upADi,upADe,nfpati,nfpate
halanta_nakaranta_neu,karman,karmasu,Sarman,Sarmasu
